Chromosome;chromStart;chromEnd;Name;Location;Stain
chr1;0;2300000;p36.33;prom;gneg
chr1;2300000;5300000;p36.32;intron;gpos25
chr1;5300000;7100000;p36.31;prom;gneg
chr1;7100000;9100000;p36.23;intron;gpos25
chr1;9100000;12500000;p36.22;prom;gneg
chr1;12500000;15900000;p36.21;codon;gpos50
chr1;15900000;20100000;p36.13;prom;gneg
chr1;20100000;23600000;p36.12;intron;gpos25
chr1;23600000;27600000;p36.11;prom;gneg
chr1;27600000;29900000;p35.3;intron;gpos25
chr1;29900000;32300000;p35.2;prom;gneg
chr1;32300000;34300000;p35.1;intron;gpos25
chr1;34300000;39600000;p34.3;prom;gneg
chr1;39600000;43700000;p34.2;intron;gpos25
chr1;43700000;46300000;p34.1;prom;gneg
chr1;46300000;50200000;p33;splice;gpos75
chr1;50200000;55600000;p32.3;prom;gneg
chr1;55600000;58500000;p32.2;codon;gpos50
chr1;58500000;60800000;p32.1;prom;gneg
chr1;60800000;68500000;p31.3;codon;gpos50
chr1;68500000;69300000;p31.2;prom;gneg
chr1;69300000;84400000;p31.1;utr3;gpos100
chr1;84400000;87900000;p22.3;prom;gneg
chr1;87900000;91500000;p22.2;splice;gpos75
chr1;91500000;94300000;p22.1;prom;gneg
chr1;94300000;99300000;p21.3;splice;gpos75
chr1;99300000;101800000;p21.2;prom;gneg
chr1;101800000;106700000;p21.1;utr3;gpos100
chr1;106700000;111200000;p13.3;prom;gneg
chr1;111200000;115500000;p13.2;codon;gpos50
chr1;115500000;117200000;p13.1;prom;gneg
chr1;117200000;120400000;p12;codon;gpos50
chr1;120400000;121700000;p11.2;prom;gneg
chr1;121700000;123400000;p11.1;acen;acen
chr1;123400000;125100000;q11;acen;acen
chr1;125100000;143200000;q12;gvar;gvar
chr1;143200000;147500000;q21.1;prom;gneg
chr1;147500000;150600000;q21.2;codon;gpos50
chr1;150600000;155100000;q21.3;prom;gneg
chr1;155100000;156600000;q22;codon;gpos50
chr1;156600000;159100000;q23.1;prom;gneg
chr1;159100000;160500000;q23.2;codon;gpos50
chr1;160500000;165500000;q23.3;prom;gneg
chr1;165500000;167200000;q24.1;codon;gpos50
chr1;167200000;170900000;q24.2;prom;gneg
chr1;170900000;173000000;q24.3;splice;gpos75
chr1;173000000;176100000;q25.1;prom;gneg
chr1;176100000;180300000;q25.2;codon;gpos50
chr1;180300000;185800000;q25.3;prom;gneg
chr1;185800000;190800000;q31.1;utr3;gpos100
chr1;190800000;193800000;q31.2;prom;gneg
chr1;193800000;198700000;q31.3;utr3;gpos100
chr1;198700000;207100000;q32.1;prom;gneg
chr1;207100000;211300000;q32.2;intron;gpos25
chr1;211300000;214400000;q32.3;prom;gneg
chr1;214400000;223900000;q41;utr3;gpos100
chr1;223900000;224400000;q42.11;prom;gneg
chr1;224400000;226800000;q42.12;intron;gpos25
chr1;226800000;230500000;q42.13;prom;gneg
chr1;230500000;234600000;q42.2;codon;gpos50
chr1;234600000;236400000;q42.3;prom;gneg
chr1;236400000;243500000;q43;splice;gpos75
chr1;243500000;248956422;q44;prom;gneg
chr1;0;2300000;p23.3;prom;gneg
chr1;2300000;6300000;p23.2;splice;gpos75
chr1;6300000;12800000;p23.1;prom;gneg
chr1;12800000;19200000;p22;utr3;gpos100
chr1;19200000;23500000;p21.3;prom;gneg
chr1;23500000;27500000;p21.2;codon;gpos50
chr1;27500000;29000000;p21.1;prom;gneg
chr1;29000000;36700000;p12;splice;gpos75
chr1;36700000;38500000;p11.23;prom;gneg
chr1;38500000;39900000;p11.22;intron;gpos25
chr1;39900000;43200000;p11.21;prom;gneg
chr1;43200000;45200000;p11.1;acen;acen
chr1;45200000;47200000;q11.1;acen;acen
chr1;47200000;51300000;q11.21;prom;gneg
chr1;51300000;51700000;q11.22;splice;gpos75
chr1;51700000;54600000;q11.23;prom;gneg
chr1;54600000;60600000;q12.1;codon;gpos50
chr1;60600000;61300000;q12.2;prom;gneg
chr1;61300000;65100000;q12.3;codon;gpos50
chr1;65100000;67100000;q13.1;prom;gneg
chr1;67100000;69600000;q13.2;codon;gpos50
chr1;69600000;72000000;q13.3;prom;gneg
chr1;72000000;74600000;q21.11;utr3;gpos100
chr1;74600000;74700000;q21.12;prom;gneg
chr1;74700000;83500000;q21.13;splice;gpos75
chr1;83500000;85900000;q21.2;prom;gneg
chr1;85900000;92300000;q21.3;utr3;gpos100
chr1;92300000;97900000;q22.1;prom;gneg
chr1;97900000;100500000;q22.2;intron;gpos25
chr1;100500000;105100000;q22.3;prom;gneg
chr1;105100000;109500000;q23.1;splice;gpos75
chr1;109500000;111100000;q23.2;prom;gneg
chr1;111100000;116700000;q23.3;utr3;gpos100
chr1;116700000;118300000;q24.11;prom;gneg
chr1;118300000;121500000;q24.12;codon;gpos50
chr1;121500000;126300000;q24.13;prom;gneg
chr1;126300000;130400000;q24.21;codon;gpos50
chr1;130400000;135400000;q24.22;prom;gneg
chr1;135400000;138900000;q24.23;splice;gpos75
chr1;138900000;145138636;q24.3;prom;gneg
chr1;0;4200000;p13;gvar;gvar
chr1;4200000;9700000;p12;stalk;stalk
chr1;9700000;17500000;p11.2;gvar;gvar
chr1;17500000;19000000;p11.1;acen;acen
chr1;19000000;20500000;q11.1;acen;acen
chr1;20500000;25500000;q11.2;prom;gneg
chr1;25500000;27800000;q12;codon;gpos50
chr1;27800000;30000000;q13.1;prom;gneg
chr1;30000000;30900000;q13.2;codon;gpos50
chr1;30900000;33400000;q13.3;prom;gneg
chr1;33400000;39800000;q14;splice;gpos75
chr1;39800000;42500000;q15.1;prom;gneg
chr1;42500000;43300000;q15.2;intron;gpos25
chr1;43300000;44500000;q15.3;prom;gneg
chr1;44500000;49200000;q21.1;splice;gpos75
chr1;49200000;52600000;q21.2;prom;gneg
chr1;52600000;58800000;q21.3;splice;gpos75
chr1;58800000;59000000;q22.1;prom;gneg
chr1;59000000;63400000;q22.2;intron;gpos25
chr1;63400000;66900000;q22.31;prom;gneg
chr1;66900000;67000000;q22.32;intron;gpos25
chr1;67000000;67200000;q22.33;prom;gneg
chr1;67200000;72400000;q23;intron;gpos25
chr1;72400000;74900000;q24.1;prom;gneg
chr1;74900000;76300000;q24.2;intron;gpos25
chr1;76300000;78000000;q24.3;prom;gneg
chr1;78000000;81400000;q25.1;codon;gpos50
chr1;81400000;84700000;q25.2;prom;gneg
chr1;84700000;88500000;q25.3;codon;gpos50
chr1;88500000;93800000;q26.1;prom;gneg
chr1;93800000;98000000;q26.2;codon;gpos50
chr1;98000000;101991189;q26.3;prom;gneg
chr1;0;4300000;p13;gvar;gvar
chr1;4300000;9400000;p12;stalk;stalk
chr1;9400000;13700000;p11.2;gvar;gvar
chr1;13700000;15000000;p11.1;acen;acen
chr1;15000000;17400000;q11.1;acen;acen
chr1;17400000;21700000;q11.21;prom;gneg
chr1;21700000;23100000;q11.22;intron;gpos25
chr1;23100000;25500000;q11.23;prom;gneg
chr1;25500000;29200000;q12.1;codon;gpos50
chr1;29200000;31800000;q12.2;prom;gneg
chr1;31800000;37200000;q12.3;codon;gpos50
chr1;37200000;40600000;q13.1;prom;gneg
chr1;40600000;43800000;q13.2;codon;gpos50
chr1;43800000;48100000;q13.31;prom;gneg
chr1;48100000;49100000;q13.32;codon;gpos50
chr1;49100000;50818468;q13.33;prom;gneg
chr2;0;4400000;p25.3;prom;gneg
chr2;4400000;6900000;p25.2;codon;gpos50
chr2;6900000;12000000;p25.1;prom;gneg
chr2;12000000;16500000;p24.3;splice;gpos75
chr2;16500000;19000000;p24.2;prom;gneg
chr2;19000000;23800000;p24.1;splice;gpos75
chr2;23800000;27700000;p23.3;prom;gneg
chr2;27700000;29800000;p23.2;intron;gpos25
chr2;29800000;31800000;p23.1;prom;gneg
chr2;31800000;36300000;p22.3;splice;gpos75
chr2;36300000;38300000;p22.2;prom;gneg
chr2;38300000;41500000;p22.1;codon;gpos50
chr2;41500000;47500000;p21;prom;gneg
chr2;47500000;52600000;p16.3;utr3;gpos100
chr2;52600000;54700000;p16.2;prom;gneg
chr2;54700000;61000000;p16.1;utr3;gpos100
chr2;61000000;63900000;p15;prom;gneg
chr2;63900000;68400000;p14;codon;gpos50
chr2;68400000;71300000;p13.3;prom;gneg
chr2;71300000;73300000;p13.2;codon;gpos50
chr2;73300000;74800000;p13.1;prom;gneg
chr2;74800000;83100000;p12;utr3;gpos100
chr2;83100000;91800000;p11.2;prom;gneg
chr2;91800000;93900000;p11.1;acen;acen
chr2;93900000;96000000;q11.1;acen;acen
chr2;96000000;102100000;q11.2;prom;gneg
chr2;102100000;105300000;q12.1;codon;gpos50
chr2;105300000;106700000;q12.2;prom;gneg
chr2;106700000;108700000;q12.3;intron;gpos25
chr2;108700000;112200000;q13;prom;gneg
chr2;112200000;118100000;q14.1;codon;gpos50
chr2;118100000;121600000;q14.2;prom;gneg
chr2;121600000;129100000;q14.3;codon;gpos50
chr2;129100000;131700000;q21.1;prom;gneg
chr2;131700000;134300000;q21.2;intron;gpos25
chr2;134300000;136100000;q21.3;prom;gneg
chr2;136100000;141500000;q22.1;utr3;gpos100
chr2;141500000;143400000;q22.2;prom;gneg
chr2;143400000;147900000;q22.3;utr3;gpos100
chr2;147900000;149000000;q23.1;prom;gneg
chr2;149000000;149600000;q23.2;intron;gpos25
chr2;149600000;154000000;q23.3;prom;gneg
chr2;154000000;158900000;q24.1;splice;gpos75
chr2;158900000;162900000;q24.2;prom;gneg
chr2;162900000;168900000;q24.3;splice;gpos75
chr2;168900000;177100000;q31.1;prom;gneg
chr2;177100000;179700000;q31.2;codon;gpos50
chr2;179700000;182100000;q31.3;prom;gneg
chr2;182100000;188500000;q32.1;splice;gpos75
chr2;188500000;191100000;q32.2;prom;gneg
chr2;191100000;196600000;q32.3;splice;gpos75
chr2;196600000;202500000;q33.1;prom;gneg
chr2;202500000;204100000;q33.2;codon;gpos50
