Chromosome;chromStart;chromEnd;Name;Location;Stain
chr1H;0;2300000;p36.33;prom;gneg
chr1H;2300000;5300000;p36.32;intron;gpos25
chr1H;5300000;7100000;p36.31;prom;gneg
chr1H;7100000;9100000;p36.23;intron;gpos25
chr1H;9100000;12500000;p36.22;prom;gneg
chr1H;12500000;15900000;p36.21;codon;gpos50
chr1H;15900000;20100000;p36.13;prom;gneg
chr1H;20100000;23600000;p36.12;intron;gpos25
chr1H;23600000;27600000;p36.11;prom;gneg
chr1H;27600000;29900000;p35.3;intron;gpos25
chr1H;29900000;32300000;p35.2;prom;gneg
chr1H;32300000;34300000;p35.1;intron;gpos25
chr1H;34300000;39600000;p34.3;prom;gneg
chr1H;39600000;43700000;p34.2;intron;gpos25
chr1H;43700000;46300000;p34.1;prom;gneg
chr1H;46300000;50200000;p33;splice;gpos75
chr1H;50200000;55600000;p32.3;prom;gneg
chr1H;55600000;58500000;p32.2;codon;gpos50
chr1H;58500000;60800000;p32.1;prom;gneg
chr1H;60800000;68500000;p31.3;codon;gpos50
chr1H;68500000;69300000;p31.2;prom;gneg
chr1H;69300000;84400000;p31.1;utr3;gpos100
chr1H;84400000;87900000;p22.3;prom;gneg
chr1H;87900000;91500000;p22.2;splice;gpos75
chr1H;91500000;94300000;p22.1;prom;gneg
chr1H;94300000;99300000;p21.3;splice;gpos75
chr1H;99300000;101800000;p21.2;prom;gneg
chr1H;101800000;106700000;p21.1;utr3;gpos100
chr1H;106700000;111200000;p13.3;prom;gneg
chr1H;111200000;115500000;p13.2;codon;gpos50
chr1H;115500000;117200000;p13.1;prom;gneg
chr1H;117200000;120400000;p12;codon;gpos50
chr1H;120400000;121700000;p11.2;prom;gneg
chr1H;121700000;123400000;p11.1;acen;acen
chr1H;123400000;125100000;q11;acen;acen
chr1H;125100000;143200000;q12;gvar;gvar
chr1H;143200000;147500000;q21.1;prom;gneg
chr1H;147500000;150600000;q21.2;codon;gpos50
chr1H;150600000;155100000;q21.3;prom;gneg
chr1H;155100000;156600000;q22;codon;gpos50
chr1H;156600000;159100000;q23.1;prom;gneg
chr1H;159100000;160500000;q23.2;codon;gpos50
chr1H;160500000;165500000;q23.3;prom;gneg
chr1H;165500000;167200000;q24.1;codon;gpos50
chr1H;167200000;170900000;q24.2;prom;gneg
chr1H;170900000;173000000;q24.3;splice;gpos75
chr1H;173000000;176100000;q25.1;prom;gneg
chr1H;176100000;180300000;q25.2;codon;gpos50
chr1H;180300000;185800000;q25.3;prom;gneg
chr1H;185800000;190800000;q31.1;utr3;gpos100
chr1H;190800000;193800000;q31.2;prom;gneg
chr1H;193800000;198700000;q31.3;utr3;gpos100
chr1H;198700000;207100000;q32.1;prom;gneg
chr1H;207100000;211300000;q32.2;intron;gpos25
chr1H;211300000;214400000;q32.3;prom;gneg
chr1H;214400000;223900000;q41;utr3;gpos100
chr1H;223900000;224400000;q42.11;prom;gneg
chr1H;224400000;226800000;q42.12;intron;gpos25
chr1H;226800000;230500000;q42.13;prom;gneg
chr1H;230500000;234600000;q42.2;codon;gpos50
chr1H;234600000;236400000;q42.3;prom;gneg
chr1H;236400000;243500000;q43;splice;gpos75
chr1H;243500000;248956422;q44;prom;gneg
chr2H;0;4400000;p25.3;prom;gneg
chr2H;4400000;6900000;p25.2;codon;gpos50
chr2H;6900000;12000000;p25.1;prom;gneg
chr2H;12000000;16500000;p24.3;splice;gpos75
chr2H;16500000;19000000;p24.2;prom;gneg
chr2H;19000000;23800000;p24.1;splice;gpos75
chr2H;23800000;27700000;p23.3;prom;gneg
chr2H;27700000;29800000;p23.2;intron;gpos25
chr2H;29800000;31800000;p23.1;prom;gneg
chr2H;31800000;36300000;p22.3;splice;gpos75
chr2H;36300000;38300000;p22.2;prom;gneg
chr2H;38300000;41500000;p22.1;codon;gpos50
chr2H;41500000;47500000;p21;prom;gneg
chr2H;47500000;52600000;p16.3;utr3;gpos100
chr2H;52600000;54700000;p16.2;prom;gneg
chr2H;54700000;61000000;p16.1;utr3;gpos100
chr2H;61000000;63900000;p15;prom;gneg
chr2H;63900000;68400000;p14;codon;gpos50
chr2H;68400000;71300000;p13.3;prom;gneg
chr2H;71300000;73300000;p13.2;codon;gpos50
chr2H;73300000;74800000;p13.1;prom;gneg
chr2H;74800000;83100000;p12;utr3;gpos100
chr2H;83100000;91800000;p11.2;prom;gneg
chr2H;91800000;93900000;p11.1;acen;acen
chr2H;93900000;96000000;q11.1;acen;acen
chr2H;96000000;102100000;q11.2;prom;gneg
chr2H;102100000;105300000;q12.1;codon;gpos50
chr2H;105300000;106700000;q12.2;prom;gneg
chr2H;106700000;108700000;q12.3;intron;gpos25
chr2H;108700000;112200000;q13;prom;gneg
chr2H;112200000;118100000;q14.1;codon;gpos50
chr2H;118100000;121600000;q14.2;prom;gneg
chr2H;121600000;129100000;q14.3;codon;gpos50
chr2H;129100000;131700000;q21.1;prom;gneg
chr2H;131700000;134300000;q21.2;intron;gpos25
chr2H;134300000;136100000;q21.3;prom;gneg
chr2H;136100000;141500000;q22.1;utr3;gpos100
chr2H;141500000;143400000;q22.2;prom;gneg
chr2H;143400000;147900000;q22.3;utr3;gpos100
chr2H;147900000;149000000;q23.1;prom;gneg
chr2H;149000000;149600000;q23.2;intron;gpos25
chr2H;149600000;154000000;q23.3;prom;gneg
chr2H;154000000;158900000;q24.1;splice;gpos75
chr2H;158900000;162900000;q24.2;prom;gneg
chr2H;162900000;168900000;q24.3;splice;gpos75
chr2H;168900000;177100000;q31.1;prom;gneg
chr2H;177100000;179700000;q31.2;codon;gpos50
chr2H;179700000;182100000;q31.3;prom;gneg
chr2H;182100000;188500000;q32.1;splice;gpos75
chr2H;188500000;191100000;q32.2;prom;gneg
chr2H;191100000;196600000;q32.3;splice;gpos75
chr2H;196600000;202500000;q33.1;prom;gneg
chr2H;202500000;204100000;q33.2;codon;gpos50
chr2H;204100000;208200000;q33.3;prom;gneg
chr2H;208200000;214500000;q34;utr3;gpos100
chr2H;214500000;220700000;q35;prom;gneg
chr2H;220700000;224300000;q36.1;splice;gpos75
chr2H;224300000;225200000;q36.2;prom;gneg
chr2H;225200000;230100000;q36.3;utr3;gpos100
chr2H;230100000;234700000;q37.1;prom;gneg
chr2H;234700000;236400000;q37.2;codon;gpos50
chr2H;236400000;242193529;q37.3;prom;gneg
chr3H;0;2800000;p26.3;codon;gpos50
chr3H;2800000;4000000;p26.2;prom;gneg
chr3H;4000000;8100000;p26.1;codon;gpos50
chr3H;8100000;11600000;p25.3;prom;gneg
chr3H;11600000;13200000;p25.2;intron;gpos25
chr3H;13200000;16300000;p25.1;prom;gneg
chr3H;16300000;23800000;p24.3;utr3;gpos100
chr3H;23800000;26300000;p24.2;prom;gneg
chr3H;26300000;30800000;p24.1;splice;gpos75
chr3H;30800000;32000000;p23;prom;gneg
chr3H;32000000;36400000;p22.3;codon;gpos50
chr3H;36400000;39300000;p22.2;prom;gneg
chr3H;39300000;43600000;p22.1;splice;gpos75
chr3H;43600000;44100000;p21.33;prom;gneg
chr3H;44100000;44200000;p21.32;codon;gpos50
chr3H;44200000;50600000;p21.31;prom;gneg
chr3H;50600000;52300000;p21.2;intron;gpos25
chr3H;52300000;54400000;p21.1;prom;gneg
chr3H;54400000;58600000;p14.3;codon;gpos50
chr3H;58600000;63800000;p14.2;prom;gneg
chr3H;63800000;69700000;p14.1;codon;gpos50
chr3H;69700000;74100000;p13;prom;gneg
chr3H;74100000;79800000;p12.3;splice;gpos75
chr3H;79800000;83500000;p12.2;prom;gneg
chr3H;83500000;87100000;p12.1;splice;gpos75
chr3H;87100000;87800000;p11.2;prom;gneg
chr3H;87800000;90900000;p11.1;acen;acen
chr3H;90900000;94000000;q11.1;acen;acen
chr3H;94000000;98600000;q11.2;gvar;gvar
chr3H;98600000;100300000;q12.1;prom;gneg
chr3H;100300000;101200000;q12.2;intron;gpos25
chr3H;101200000;103100000;q12.3;prom;gneg
chr3H;103100000;106500000;q13.11;splice;gpos75
chr3H;106500000;108200000;q13.12;prom;gneg
chr3H;108200000;111600000;q13.13;codon;gpos50
chr3H;111600000;113700000;q13.2;prom;gneg
chr3H;113700000;117600000;q13.31;splice;gpos75
chr3H;117600000;119300000;q13.32;prom;gneg
chr3H;119300000;122200000;q13.33;splice;gpos75
chr3H;122200000;124100000;q21.1;prom;gneg
chr3H;124100000;126100000;q21.2;intron;gpos25
chr3H;126100000;129500000;q21.3;prom;gneg
chr3H;129500000;134000000;q22.1;intron;gpos25
chr3H;134000000;136000000;q22.2;prom;gneg
chr3H;136000000;139000000;q22.3;intron;gpos25
chr3H;139000000;143100000;q23;prom;gneg
chr3H;143100000;149200000;q24;utr3;gpos100
chr3H;149200000;152300000;q25.1;prom;gneg
chr3H;152300000;155300000;q25.2;codon;gpos50
chr3H;155300000;157300000;q25.31;prom;gneg
chr3H;157300000;159300000;q25.32;codon;gpos50
chr3H;159300000;161000000;q25.33;prom;gneg
chr3H;161000000;167900000;q26.1;utr3;gpos100
chr3H;167900000;171200000;q26.2;prom;gneg
chr3H;171200000;176000000;q26.31;splice;gpos75
chr3H;176000000;179300000;q26.32;prom;gneg
chr3H;179300000;183000000;q26.33;splice;gpos75
chr3H;183000000;184800000;q27.1;prom;gneg
chr3H;184800000;186300000;q27.2;intron;gpos25
chr3H;186300000;188200000;q27.3;prom;gneg
chr3H;188200000;192600000;q28;splice;gpos75
chr3H;192600000;198295559;q29;prom;gneg
chr4H;0;4500000;p16.3;prom;gneg
chr4H;4500000;6000000;p16.2;intron;gpos25
chr4H;6000000;11300000;p16.1;prom;gneg
chr4H;11300000;15000000;p15.33;codon;gpos50
